cycle density energy
0 4.058984e+02 -4.667017e+04
100 4.408589e+02 -8.472929e+04
200 4.686508e+02 -1.205979e+05
300 4.583773e+02 -1.315007e+05
400 4.895327e+02 -1.305068e+05
500 5.403903e+02 -1.323163e+05
600 5.873993e+02 -1.324743e+05
700 6.387054e+02 -1.490200e+05
800 8.335102e+02 -1.501078e+05
900 9.480441e+02 -1.724445e+05
0 1.052741e+03 -2.036366e+05
100 1.031006e+03 -2.213209e+05
200 1.073569e+03 -2.221336e+05
300 1.029460e+03 -2.282075e+05
400 1.053811e+03 -2.301094e+05
500 1.027973e+03 -2.326889e+05
600 1.017795e+03 -2.215066e+05
700 1.016006e+03 -2.147553e+05
800 1.031244e+03 -2.167257e+05
900 1.050611e+03 -2.230690e+05
1000 1.044176e+03 -2.269988e+05
1100 1.035156e+03 -2.212849e+05
1200 1.050398e+03 -2.192873e+05
1300 1.056879e+03 -2.269556e+05
1400 1.060075e+03 -2.332973e+05
1500 9.796377e+02 -2.247667e+05
1600 1.043410e+03 -2.118277e+05
1700 1.039781e+03 -2.238930e+05
1800 1.004061e+03 -2.216787e+05
1900 1.062871e+03 -2.160090e+05
2000 1.064157e+03 -2.285880e+05
2100 1.035580e+03 -2.265855e+05
2200 1.049133e+03 -2.219625e+05
2300 1.068726e+03 -2.275482e+05
2400 1.055523e+03 -2.305480e+05
2500 1.061288e+03 -2.267857e+05
2600 1.054304e+03 -2.324626e+05
2700 1.052395e+03 -2.231651e+05
2800 1.093744e+03 -2.302099e+05
2900 1.060070e+03 -2.367206e+05
3000 9.824703e+02 -2.294459e+05
3100 1.024086e+03 -2.072934e+05
3200 1.060200e+03 -2.167301e+05
3300 1.044815e+03 -2.268390e+05
3400 1.043439e+03 -2.149849e+05
3500 1.062079e+03 -2.346329e+05
3600 1.042598e+03 -2.267135e+05
3700 1.039128e+03 -2.233046e+05
3800 1.033357e+03 -2.341192e+05
3900 1.070531e+03 -2.230054e+05
4000 1.097824e+03 -2.282124e+05
4100 1.114566e+03 -2.371513e+05
4200 1.112594e+03 -2.393413e+05
4300 1.133292e+03 -2.381634e+05
4400 1.086108e+03 -2.456730e+05
4500 1.086355e+03 -2.354892e+05
4600 1.054914e+03 -2.351250e+05
4700 1.057916e+03 -2.334203e+05
4800 1.074988e+03 -2.256418e+05
4900 1.105143e+03 -2.410978e+05
