cycle density energy
0 1.028276e+02 -5.411899e+03
100 6.719799e+01 -5.964065e+03
200 9.866255e+01 -2.431391e+03
300 8.798504e+01 -6.993801e+03
400 4.420166e+01 -6.983702e+03
500 5.947583e+01 -1.536448e+03
600 1.097992e+02 -3.284756e+03
700 1.066709e+02 -1.167695e+04
800 9.280732e+01 -9.604089e+03
900 7.481651e+01 -7.901796e+03
1000 9.199650e+01 -4.177769e+03
1100 1.082524e+02 -1.125798e+04
1200 1.176973e+02 -1.255175e+04
1300 8.259029e+01 -1.435504e+04
1400 1.006552e+02 -6.037170e+03
1500 1.070656e+02 -1.036243e+04
1600 1.186846e+02 -1.084710e+04
1700 1.299222e+02 -1.208512e+04
1800 9.338444e+01 -1.306405e+04
1900 1.314142e+02 -1.201375e+04
0 1.194483e+02 -1.387807e+04
100 1.012064e+02 -1.382744e+04
200 1.301437e+02 -9.271871e+03
300 1.465727e+02 -1.776934e+04
400 1.511870e+02 -1.740987e+04
500 1.395769e+02 -2.064854e+04
600 1.389317e+02 -1.947787e+04
700 1.318297e+02 -1.836687e+04
800 1.145861e+02 -2.097289e+04
900 1.382997e+02 -1.561521e+04
1000 1.232860e+02 -1.821846e+04
1100 1.321605e+02 -1.099845e+04
1200 1.161757e+02 -1.568118e+04
1300 1.442914e+02 -1.110022e+04
1400 9.456031e+01 -2.196889e+04
1500 1.372728e+02 -7.902566e+03
1600 9.022810e+01 -1.600849e+04
1700 1.092289e+02 -7.785913e+03
1800 9.213513e+01 -1.278858e+04
1900 1.043970e+02 -6.619854e+03
2000 1.225945e+02 -9.916033e+03
2100 1.380958e+02 -1.327974e+04
2200 1.433216e+02 -1.760253e+04
2300 1.485240e+02 -1.856462e+04
2400 1.300661e+02 -2.089596e+04
2500 1.264705e+02 -1.818245e+04
2600 1.308874e+02 -1.528580e+04
2700 1.300902e+02 -1.742097e+04
2800 1.062312e+02 -1.808432e+04
2900 1.188191e+02 -9.179625e+03
3000 1.009250e+02 -1.305863e+04
3100 1.064041e+02 -7.919988e+03
3200 7.814807e+01 -1.158283e+04
3300 7.791235e+01 -5.188285e+03
3400 1.380674e+02 -5.523558e+03
3500 1.275733e+02 -1.761160e+04
3600 1.226095e+02 -1.830882e+04
3700 9.178618e+01 -1.420461e+04
3800 1.076883e+02 -7.023914e+03
3900 8.703347e+01 -7.393060e+03
4000 1.145045e+02 -6.993470e+03
4100 1.167712e+02 -1.302789e+04
4200 1.181635e+02 -1.153732e+04
4300 8.668891e+01 -9.960363e+03
4400 1.184358e+02 -6.381521e+03
4500 7.152509e+01 -1.304614e+04
4600 1.026033e+02 -4.884965e+03
4700 1.195109e+02 -1.195916e+04
4800 9.687809e+01 -1.225069e+04
4900 1.033140e+02 -8.568003e+03
5000 1.062618e+02 -8.068960e+03
5100 9.699455e+01 -1.322427e+04
5200 8.360481e+01 -1.183868e+04
5300 1.657488e+02 -6.569336e+03
5400 1.071777e+02 -3.024830e+04
5500 9.463921e+01 -1.078336e+04
5600 7.550967e+01 -9.190110e+03
5700 6.485530e+01 -5.665546e+03
5800 1.161051e+02 -3.259633e+03
5900 1.050862e+02 -1.120229e+04
