cycle density energy
0 6.460989e+02 -6.393731e+04
100 7.479489e+02 -1.225799e+05
200 9.098777e+02 -2.862104e+05
300 9.246134e+02 -3.189181e+05
400 9.746964e+02 -3.313058e+05
500 1.014600e+03 -3.500033e+05
600 1.002046e+03 -3.635770e+05
700 1.047483e+03 -3.607054e+05
800 1.047168e+03 -3.821386e+05
900 1.065985e+03 -3.807903e+05
0 1.020285e+03 -3.805580e+05
100 1.025679e+03 -3.634879e+05
200 1.037978e+03 -3.736407e+05
300 1.096497e+03 -3.799390e+05
400 1.045421e+03 -3.930782e+05
500 1.107383e+03 -3.730222e+05
600 1.077328e+03 -3.938668e+05
700 1.063025e+03 -3.887541e+05
800 1.038677e+03 -3.842780e+05
900 1.010655e+03 -3.705427e+05
1000 1.047131e+03 -3.700291e+05
1100 1.066191e+03 -3.772049e+05
1200 1.041243e+03 -3.813638e+05
1300 1.082666e+03 -3.685171e+05
1400 1.109695e+03 -3.860750e+05
1500 1.128837e+03 -4.029567e+05
1600 1.075170e+03 -4.055686e+05
1700 1.067000e+03 -3.869818e+05
1800 1.105501e+03 -3.851086e+05
1900 1.082738e+03 -3.849468e+05
2000 1.077947e+03 -3.897789e+05
2100 1.100930e+03 -3.954308e+05
2200 1.099510e+03 -4.031039e+05
2300 1.071422e+03 -3.970385e+05
2400 1.112905e+03 -3.842149e+05
2500 1.116159e+03 -3.987183e+05
2600 1.088997e+03 -4.017405e+05
2700 1.126623e+03 -3.875317e+05
2800 1.110349e+03 -4.189345e+05
2900 1.071131e+03 -4.026220e+05
3000 1.064855e+03 -3.832309e+05
3100 1.081060e+03 -3.856044e+05
3200 1.114947e+03 -3.972430e+05
3300 1.101884e+03 -4.081621e+05
3400 1.082630e+03 -4.032810e+05
3500 1.056217e+03 -3.855336e+05
3600 1.067146e+03 -3.855359e+05
3700 1.069727e+03 -3.871341e+05
3800 1.074460e+03 -3.827094e+05
3900 1.068123e+03 -3.806517e+05
4000 1.067327e+03 -3.866722e+05
4100 1.030725e+03 -3.890125e+05
4200 1.052868e+03 -3.697452e+05
4300 1.074646e+03 -3.830322e+05
4400 1.060977e+03 -3.900839e+05
4500 1.085356e+03 -3.744933e+05
4600 1.037789e+03 -3.866108e+05
4700 1.061798e+03 -3.834080e+05
4800 1.054332e+03 -3.828118e+05
4900 1.077052e+03 -3.771037e+05
